sentence,negativity,neutrality,positivity,compound
I accepted a friend request on Facebook because we had a common friend.,0.0,0.452,0.548,0.8176
"He chatted on Facebook Messenger and did some basic purification by asking questions, which seemed believable.",0.0,1.0,0.0,0.0
He then decided to continue the conversation on WhatsApp.,0.0,1.0,0.0,0.0
"His ""friend"" attempted to develop a close relationship by asking personal questions and showing concern for various issues I had.",0.0,1.0,0.0,0.0
"After some time, they asked me to help them with a part-time job they were doing.",0.0,0.838,0.162,0.4019
"They claimed that if I didn't assist, it would indicate a lack of sincerity in our friendship.",0.126,0.714,0.159,0.1531
"I accepted the request but remained cautious, even though I didn't know much about the background of the job.",0.088,0.826,0.085,-0.0129
The task involved processing sales orders for a supposedly reputable company.,0.0,1.0,0.0,0.0
"I was asked to use my own money to purchase items using the product value provided in links sent by the ""company"" through Paynow.",0.0,0.902,0.098,0.34
"To help my friend, I needed to complete a certain number of orders.",0.0,0.429,0.571,0.8074
"Initially, the purchase amount was small, around $100.",0.0,1.0,0.0,0.0
"After completing a few orders and being fully reimbursed along with commission, the subsequent orders' amounts quickly balloon into the thousands.",0.0,1.0,0.0,0.0
"Feeling uncomfortable, I decided to stop paying for the orders.",0.39,0.488,0.122,-0.5106
"When I raised my concerns about this issue, my ""friend"" began to change their behavior and accused me of not completing the orders intentionally to cause problems for them.",0.159,0.841,0.0,-0.5994
They insisted that I fulfill the job due to an alleged contract and threatened that they would face penalties otherwise.,0.131,0.742,0.127,-0.0258
Refusing their demands led to them hurling expletives at me and instructing me not to contact them again.,0.137,0.863,0.0,-0.4019
I immediately took screenshots of all their details and ceased communication.,0.0,1.0,0.0,0.0
"Fortunately, I didn't lose any money during the process, but my banking details were compromised.",0.0,0.889,0.111,0.1603
I reported the incident to the police.,0.0,1.0,0.0,0.0
"Reflecting on the situation, the summer was well-prepared in answering various questions and made a concerted effort to build a seemingly sincere relationship.",0.0,0.881,0.119,0.4019
"When the time came, they resorted to emotional blackmailed and questioned my integrity to manipulate me into assisting them.",0.065,0.741,0.194,0.4215
"I urge others to remain vigilant for red flags in their responses, conduct internet searches to verify the information provided, and immediately cease contact to avoid becoming emotional entangled with scatters, which can result in financial losses.",0.122,0.796,0.082,-0.3818
"Whatsapp message: Good morning,Baron here a😊 I received your application notice from Linkedin, can you confirm with me if you have time?then i will send you the job detail Thank you!",0.0,0.826,0.174,0.69
"Okay, let me give you a brief introduction to the main work of the NOTION AGE PTE.",0.0,0.888,0.112,0.2263
"LTD.🙌 Our main job is to help the PLAY STORE/APP STORE to improve pp rating and flow to attract more users to download and use it Company will provide us with a working page for us to submit the pp's rating and have specialized systems assist us with a range of work The base salary is $500 for 5 days and there will be an additional $30 or more from the optimization pp🤗 Working hour is 2-hour,and this is no force time so you can work when you free time a You may create act with this work page Pink: http://www.sg-notionage.life (Note: Potential scar site, do not click) invitation code are ：G4KUDL",0.018,0.822,0.16,0.946
"I met Plan on Humble, where he claimed to be a project manager at Synergix in During Last.",0.0,1.0,0.0,0.0
He mentioned that he lived in Geylang and hailed from Tula Tumour.,0.0,0.853,0.147,0.2263
"He chatted for about a week, and things seemed to be going well.",0.0,0.84,0.16,0.2732
"He showed a lot of interest in me, complimenting me and assuring me that he would support me through my depression.",0.122,0.495,0.383,0.7845
"However, the next day, I discovered that he had snatched me on Humble and claimed to have installed the pp.",0.0,1.0,0.0,0.0
"When, he sent me a message showing a graph of SGX stocks, explaining that he was making extra money from it because his $7,000 salary wasn't sufficient to cover his $2,000 rent and family expenses.",0.0,1.0,0.0,0.0
"He mentioned that his brother had taught him about stocks, or else he would have lost a significant amount of money.",0.104,0.814,0.081,-0.128
He said he thought I was a nice girl and offered to teach me some tips in exchange for a meal.,0.0,0.859,0.141,0.4215
"His made me even more suspicious, so I turned him down.",0.237,0.763,0.0,-0.4201
"He proceeded to guilt-trip me, suggesting that this was why people found it difficult to be friends with me.",0.111,0.752,0.137,0.1531
"I pointed out that I recognized the phrases and words he used from previous encounters, after which he stopped essaying me.",0.095,0.905,0.0,-0.2263
